Movie Name,Audience Score,Tomatometer Score,Rating,Genre,Original Language,Director,Producer,Writer,Release Date (Theaters),Release Date (Streaming),Box Office (Gross USA),Runtime,Distributor,Sound Mix,Aspect Ratio,View the collection
THE LOVED ONES,73,98,R (Strong Bloody Violence|Some Language|Sexuality|Teen Drug and Alcohol Use|Torture),"Horror, Mystery & Thriller",English,Sean Byrne,"Mark Lazarus, Michael Boughen",Sean Byrne,"Jun 1, 2012  Limited","Sep 11, 2012",,1h 24m,Paramount Insurge,,,
CAPERNAUM,93,90,R (Some Drug Material|Language),Drama,Arabic,Nadine Labaki,"Anne-Dominique Toussaint, Nadine Labaki","Jihad Hojeily, Nadine Labaki","Dec 14, 2018  Limited","Mar 26, 2019",$1.7M,2h 10m,Sony Pictures Classics,Dolby Digital,Scope (2.35:1),
GENTLEMEN PREFER BLONDES,83,98,,"Musical, Comedy",English,Howard Hawks,Sol C. Siegel,"Joseph Fields, Anita Loos, Charles Lederer","Jul 18, 1953  Wide","May 30, 2006",,1h 31m,20th Century Fox,Mono,,
THE ADVENTURES OF BARON MUNCHAUSEN,82,91,PG,Fantasy,English,Terry Gilliam,Thomas Schühly,,"Mar 10, 1989  Original","Apr 8, 2008",$8.6M,2h 6m,"Columbia Pictures, Criterion Collection","Surround, Stereo",,
THE VILLAINESS,66,85,,Action,Korean,Jeong Byeong-gil,,"Jeong Byeong-gil, Jeong Byeongsik","Aug 25, 2017  Limited","Nov 21, 2017",$27.7K,2h 9m,Well Go USA,,,
BOY ERASED,74,81,R (Brief Drug Use|An Assault|Sexual Content|Some Language),"Biography, Drama, Lgbtq+",English,Joel Edgerton,"Kerry Kohansky-Roberts, Steve Golin, Joel Edgerton",Joel Edgerton,"Nov 16, 2018  Wide","Jan 15, 2019",$6.7M,1h 55m,Focus Features,,Flat (1.85:1),
BOYS DON'T CRY,87,90,R,"Biography, Drama, Lgbtq+",English,Kimberly Peirce,"John Hart, Eva Kolodner, Jeff Sharp, Christine Vachon","Kimberly Peirce, Andy Bienen","Sep 2, 1999  Original","Apr 18, 2000",$11.5M,1h 59m,"20th Century Fox Home Entertainment, Fox","Dolby, Surround",Flat (1.85:1),
WEEKEND,86,95,,"Drama, Romance, Lgbtq+",English,Andrew Haigh,Tristan Goligher,Andrew Haigh,"Sep 23, 2011  Limited","Apr 1, 2014",$469.9K,1h 36m,Sundance Selects,,,
DAYS OF HEAVEN,89,93,PG,Drama,English,Terrence Malick,"Bert Schneider, Harold Schneider",Terrence Malick,"Jan 1, 1978  Wide","Mar 30, 1999",,1h 35m,Paramount Pictures,"Surround, Dolby Stereo",Flat (1.85:1),
GHOST TOWN,60,85,PG-13 (Sexual Humor|Drug References|Some Strong Language),"Comedy, Fantasy, Romance",English,David Koepp,Gavin Polone,"David Koepp, John Kamps","Sep 19, 2008  Wide","Oct 28, 2008",$13.2M,1h 43m,"Paramount Pictures, DreamWorks SKG",,,
