Movie Name,Audience Score,Tomatometer Score,Rating,Genre,Original Language,Director,Producer,Writer,Release Date (Theaters),Release Date (Streaming),Box Office (Gross USA),Runtime,Distributor,Sound Mix,Aspect Ratio,View the collection
POINT BLANK,76,91,R (Strong Violence|Some Language),"Mystery & Thriller, Action, Crime, Drama",French (France),Fred Cavayé,"Cyril Colbeau-Justin, Jean-Baptiste Dupont","Fred Cavayé, Guillaume Lemans, Fred Cavayé","Jul 29, 2011  Limited","Dec 6, 2011",$706.9K,1h 24m,Magnolia Pictures,,,
TROPHY WIFE,61,83,R (Some Sexuality),Comedy,French (France),François Ozon,"Éric Altmayer, Nicolas Altmayer","François Ozon, François Ozon","Mar 25, 2011  Limited","Jul 19, 2011",$1.6M,1h 43m,Music Box Films,,,
PRICELESS,75,82,PG-13 (Sexual Content|Nudity),"Comedy, Romance",French (France),Pierre Salvadori,Philippe Martin,"Pierre Salvadori, Benoît Graffin","Mar 28, 2008  Limited","Nov 18, 2008",$2.2M,1h 46m,Samuel Goldwyn Company,,,
SARAH'S KEY,82,72,PG-13 (Thematic Material|Disturbing Situation/Holocaust),Drama,French (France),Gilles Paquet-Brenner,Stéphane Marsil,"Serge Joncour, Gilles Paquet-Brenner, Serge Joncour","Jul 22, 2011  Limited","Nov 22, 2011",$7.7M,1h 51m,Weinstein Co.,,,
UNDER THE SAND,83,93,,Drama,French (France),François Ozon,"Olivier Delbosc, Marc Missonnier","Emmanuèle Bernheim, François Ozon, Marina de Van, Marcia Romano","May 4, 2000  Wide","Dec 11, 2001",$1.5M,1h 36m,Winstar Cinema,"Dolby Stereo, Dolby Digital, Dolby A, Surround, Dolby SR",Flat (1.85:1),
THE 400 BLOWS,94,99,,"Crime, Drama",French (France),François Truffaut,François Truffaut,"François Truffaut, François Truffaut, Marcel Moussy","Nov 16, 1959  Wide","May 9, 2006",,1h 33m,Criterion Collection,Mono,,
THE CITY OF LOST CHILDREN,90,80,R,Fantasy,French (France),"Marc Caro, Jean-Pierre Jeunet",Félicie Dutertre,"Jean-Pierre Jeunet, Marc Caro, Gilles Adrien, Guillaume Laurant","Dec 15, 1995  Original","Oct 19, 1999",$1.9M,1h 51m,Sony Pictures Classics,Surround,,
THE CLOSET,78,85,R (Scene of Sexuality),Comedy,French (France),Francis Veber,Alain Poiré,"Francis Veber, Francis Veber","Jun 29, 2001  Wide","Mar 5, 2002",$6.7M,1h 24m,Miramax Films,"Surround, Dolby SR, Dolby Digital, Dolby A, Dolby Stereo",,
THE GIRL ON THE TRAIN,42,76,,Drama,French (France),André Téchiné,Saïd Ben Saïd,"Odile Barski, Jean-Marie Besset, André Téchiné",,"May 18, 2010",$207.3K,1h 45m,,,,
THE GLEANERS AND I,87,93,,Documentary,French (France),Agnès Varda,Agnès Varda,Agnès Varda,"Jul 9, 2000  Original","Jul 23, 2002",,1h 22m,,,,
THE GUARDIANS,54,94,R (Some Violence and Sexuality),"History, Drama",French (France),Xavier Beauvois,"Sylvie Pialat, Benoît Quainon","Xavier Beauvois, Frédérique Moreau, Marie-Julie Maille","May 4, 2018  Limited","Aug 28, 2018",$161.3K,2h 15m,Music Box Films,Dolby Digital,Scope (2.35:1),
THE INTOUCHABLES,93,76,R (Some Drug Use|Language),"Comedy, Drama",French (France),"Olivier Nakache, Eric Toledano","Nicolas Duval-Adassovsky, Laurent Zeitoun, Yann Zenou","Olivier Nakache, Eric Toledano, Olivier Nakache, Eric Toledano","May 25, 2012  Limited","Jan 15, 2013",$13.2M,1h 50m,Weinstein Co.,Dolby Digital,,
THE RULES OF THE GAME,89,96,,"Comedy, Drama",French (France),Jean Renoir,Claude Renoir,"Carl Koch, Jean Renoir","Jul 8, 1939  Original","Jan 20, 2004",,1h 50m,"Cine Classics, Criterion Collection",,"35mm, Flat (1.37:1)",
THE UMBRELLAS OF CHERBOURG,87,97,,"Musical, Romance",French (France),Jacques Demy,Mag Bodard,"Jacques Demy, Jacques Demy","Feb 19, 1964  Original","Apr 6, 2004",$18.4K,1h 31m,"Criterion Collection, Zeitgeist Films, Wellspring Media",Dolby Stereo,"16mm, Flat (1.85:1)",
THE YOUNG GIRLS OF ROCHEFORT,84,98,G,"Musical, Romance",French (France),"Jacques Demy, Agnès Varda","Perrine Bauduin, Gilbert de Goldschmidt","Jacques Demy, Julian More","Mar 8, 1967  Original","Jul 22, 2014",$88.5K,2h 5m,"Miramax Films, Miramax Zoë, Warner Bros., Miramax Home Entertainment [us]",Stereo,"35mm, Scope (2.35:1)",
THINGS TO COME,71,99,PG-13 (Brief Language and Drug Use),Drama,French (France),Mia Hansen-Løve,Charles Gillibert,"Mia Hansen-Løve, Mia Hansen-Løve","Dec 2, 2016  Limited","May 1, 2017",$282.4K,1h 41m,IFC Films,Dolby Digital,,
TIMBUKTU,77,98,PG-13 (Thematic Elements|Some Violence),Drama,French (France),Abderrahmane Sissako,"Rémi Burah, Etienne Comar, Sylvie Pialat, Olivier Père","Abderrahmane Sissako, Kessen Tall",,"Jun 9, 2015",$1.1M,1h 37m,,,Scope (2.35:1),
