,title,country,genre,original title,rating,ratingcount,url,year,cluster
503,Séraphin (1950),Canada,Drama,,"5,8",63.0,https://www.imdb.com/title/tt0043021/,1950.0,4
504,L'enfant de nuit (1978),France,"Mystery, Thriller",,"5,8",22.0,https://www.imdb.com/title/tt0164560/,1978.0,4
505,Blessed Madness (2018),Italy,Comedy,Benedetta follia,"5,8",1427.0,https://www.imdb.com/title/tt7022404/,2018.0,0
506,Bombs Over Monte Carlo (1931),Germany,"Comedy, Drama, Musical",Bomben auf Monte Carlo,"5,8",151.0,https://www.imdb.com/title/tt0021681/,1931.0,4
507,"Le fils de l'épicière, le maire, le village et le monde (2020)",France,Documentary,,"5,8",14.0,https://www.imdb.com/title/tt13867020/,2020.0,4
508,Bamako Chicken (2015),Mali,"Documentary, Short",,"5,7",6.0,https://www.imdb.com/title/tt5152616/,2015.0,5
509,Z-O-M-B-I-E-S 2 (2020),Australia,"Comedy, Family, Musical",,"5,7",2936.0,https://www.imdb.com/title/tt9766166/,2020.0,4
510,Kärlek och störtlopp (1946),Sweden,Comedy,,"5,7",64.0,https://www.imdb.com/title/tt0038678/,1946.0,4
511,Oxygen (1970),Slovenia,Drama,,"5,7",27.0,https://www.imdb.com/title/tt0172934/,1970.0,5
512,"Elle court, elle court la banlieue (1973)",France,Comedy,,"5,7",154.0,https://www.imdb.com/title/tt0068536/,1973.0,4
513,Little Flames (1985),Italy,Drama,Piccoli fuochi,"5,7",277.0,https://www.imdb.com/title/tt0089808/,1985.0,4
514,Young Mother 3 (2015),South Korea,"Drama, Romance",Jeolmeun eomma 3,"5,7",429.0,https://www.imdb.com/title/tt11941248/,2015.0,4
515,The Closet (2020),South Korea,"Horror, Mystery",Keullojet,"5,7",2026.0,https://www.imdb.com/title/tt11727052/,2020.0,4
516,Nous irons à Monte Carlo (1951),France,"Comedy, Musical",,"5,7",253.0,https://www.imdb.com/title/tt0043865/,1951.0,4
517,Mordet på Trotskij (1972),France,"Biography, Drama, History",The Assassination of Trotsky,"5,7",1844.0,https://www.imdb.com/title/tt0068226/,1972.0,4
518,The Assassin Next Door (2009),Israel,"Action, Drama, Thriller",Kirot,"5,7",2813.0,https://www.imdb.com/title/tt1198153/,2009.0,4
519,The Vanished (2020),Canada,"Action, Crime, Horror",Hour of Lead,"5,7",10889.0,https://www.imdb.com/title/tt9794630/,2020.0,0
520,Assassination Classroom: The Graduation (2016),Japan,"Action, Adventure, Comedy",Ansatsu kyôshitsu: sotsugyô hen,"5,7",853.0,https://www.imdb.com/title/tt4641264/,2016.0,2
521,Tokyo Ghoul (2017),Japan,"Action, Drama, Fantasy",Tôkyô gûru,"5,7",3685.0,https://www.imdb.com/title/tt5815944/,2017.0,4
522,The Titan's Bride (2020),Japan,"Animation, Comedy, Fantasy",Kyojinzoku no Hanayome,"5,7",303.0,https://www.imdb.com/title/tt12362250/,2020.0,4
523,Fearless Hyena 3 (1980),China,Action,Fearless Master,"5,6",72.0,https://www.imdb.com/title/tt0322265/,1980.0,5
524,The Tomboy (1959),Greece,"Comedy, Romance",To agorokoritso,"5,6",83.0,https://www.imdb.com/title/tt0135754/,1959.0,3
525,The Night of the Hunted (1980),France,"Drama, Horror, Mystery",La nuit des traquées,"5,6",1736.0,https://www.imdb.com/title/tt0081250/,1980.0,4
526,The Big Love Picture (2019),Argentina,"Comedy, Romance",,"5,6",69.0,https://www.imdb.com/title/tt10399550/,2019.0,3
527,Prenez la queue comme tout le monde (1973),France,Comedy,,"5,6",76.0,https://www.imdb.com/title/tt0070559/,1973.0,3
528,The Guilty Ones (2019),China,"Crime, Drama, Mystery",Ni shi xiong shou,"5,6",83.0,https://www.imdb.com/title/tt10097530/,2019.0,4
529,Roberto Carlos a 300 Quilômetros por Hora (1971),Brazil,Adventure,,"5,6",148.0,https://www.imdb.com/title/tt0254060/,1971.0,4
530,Elles (2011),France,Drama,,"5,6",7168.0,https://www.imdb.com/title/tt1549589/,2011.0,4
531,The Maiden (1955),France,"Crime, Drama, Romance",La môme Pigalle,"5,6",31.0,https://www.imdb.com/title/tt0141641/,1955.0,4
532,Elle et moi (1952),Portugal,Comedy,,"5,6",35.0,https://www.imdb.com/title/tt0044583/,1952.0,4
533,Confessions of a Young American Housewife (1974),France,"Adventure, Drama",,"5,6",612.0,https://www.imdb.com/title/tt0069914/,1974.0,4
534,Trophy Wife (2014),Philippines,Drama,,"5,6",53.0,https://www.imdb.com/title/tt3904994/,2014.0,0
